상병코드,상병명,상병명(영문)
A1530     ,상세불명의 수단으로 확인된 공동이 있는 결핵성 폐섬유증,Tuberculous fibrosis of lung with cavitation/ confirmed by unspecified means
A1530     ,상세불명의 수단으로 확인된 공동이 있는 폐결핵,Tuberculosis of lung with cavitation/ confirmed by unspecified means
A1530     ,A15.0에 열거된 공동이 있는 병태/ 상세불명의 수단으로 확인된 것,Conditions with cavitation listed in A15.0/ confirmed by unspecified means
A1531     ,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 기관지 확장증,Tuberculous bronchiectasis without cavitation or unspecified/ confirmed by unspecified means
A1531     ,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 기흉,Tuberculous pneumothorax without cavitation or unspecified/ confirmed by unspecified means
A1531     ,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 폐렴,Tuberculous pneumonia without cavitation or unspecified/ confirmed by unspecified means
A1531     ,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 결핵성 폐섬유증,Tuberculous fibrosis of lung without cavitation or unspecified/ confirmed by unspecified means
A1531     ,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵,Tuberculosis of lung without cavitation or unspecified/ confirmed by unspecified means
A1531     ,A15.0에 열거된 공동이 없거나 상세불명의 병태/ 상세불명의 수단으로 확인된 것,Conditions without cavitation or unspecified listed in A15.0/ confirmed by unspecified means
A154      ,세균학적 및 조직학적으로 확인된 기관기관지림프절의 결핵,Tuberculosis of tracheobronchial lymph nodes/ confirmed bacteriologically and histologically
A154      ,세균학적 및 조직학적으로 확인된 종격림프절의 결핵,Tuberculosis of mediastinal lymph nodes/ confirmed bacteriologically and histologically
A154      ,세균학적 및 조직학적으로 확인된 폐문림프절의 결핵,Tuberculosis of hilar lymph nodes/ confirmed bacteriologically and histologically
A154      ,세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵,Tuberculosis of intrathoracic lymph nodes/ confirmed bacteriologically and histologically
A1540     ,세균학적 및 조직학적으로 확인된 공동이 있는 기관기관지림프절의 결핵,Tuberculosis of tracheobronchial lymph nodes with cavitation/ confirmed bacteriologically and histologically
A1540     ,세균학적 및 조직학적으로 확인된 공동이 있는 종격림프절의 결핵,Tuberculosis of mediastinal lymph nodes/ confirmed bacteriologically and histologically
A1540     ,세균학적 및 조직학적으로 확인된 공동이 있는 폐문림프절의 결핵,Tuberculosis of hilar lymph nodes with cavitation/ confirmed bacteriologically and histologically
