상병코드,상병명,상병명(영문)
S962      ,발목 및 발 부위의 내인성 근육 및 힘줄의 손상,Injury of intrinsic muscle and tendon at ankle and foot level
S9620     ,발목 및 발 부위의 내인성 근육 및 힘줄의 손상/ 열상,Injury of intrinsic muscle and tendon at ankle and foot level/ laceration
S9628     ,발목 및 발 부위의 내인성 근육 및 힘줄의 손상/ 기타 및 상세불명의 손상,Injury of intrinsic muscle and tendon at ankle and foot level/ other and unspecified injury
S967      ,발목 및 발 부위의 다발성 근육 및 힘줄의 손상,Injury of multiple muscles and tendons at ankle and foot level
S9670     ,발목 및 발 부위의 다발성 근육 및 힘줄의 손상/ 열상,Injury of multiple muscles and tendons at ankle and foot level/ laceration
S9678     ,발목 및 발 부위의 다발성 근육 및 힘줄의 손상/ 기타 및 상세불명의 손상,Injury of multiple muscles and tendons at ankle and foot level/ other and unspecified injury
S968      ,발목 및 발 부위의 기타 근육 및 힘줄의 손상,Injury of other muscles and tendons at ankle and foot level
S9680     ,발목 및 발 부위의 기타 근육 및 힘줄의 손상/ 열상,Injury of other muscles and tendons at ankle and foot level/ laceration
S9688     ,발목 및 발 부위의 기타 근육 및 힘줄의 손상/ 기타 및 상세불명의 손상,Injury of other muscles and tendons at ankle and foot level/ other and unspecified injury
S969      ,발목 및 발 부위의 상세불명 근육 및 힘줄의 손상,Injury of unspecified muscle tendon at ankle and foot level
S9690     ,발목 및 발 부위의 상세불명 근육 및 힘줄의 손상/ 열상,Injury of unspecified muscle tendon at ankle and foot level/ laceration
S9698     ,발목 및 발 부위의 상세불명 근육 및 힘줄의 손상/ 기타 및 상세불명의 손상,Injury of unspecified muscle tendon at ankle and foot level/ other and unspecified injury
S97       ,발목 및 발의 으깸손상,Crushing injury of ankle and foot
S970      ,발목의 으깸손상,Crushing injury of ankle
S971      ,발가락의 으깸손상,Crushing injury of toe(s)
S978      ,발목 및 발의 기타 부분의 으깸손상,Crushing injury of other parts of ankle and foot
S978      ,발의 으깸손상 NOS,Crushing injury of foot NOS
S98       ,발목 및 발의 외상성 절단,Traumatic amputation of ankle and foot
S980      ,발목 부위의 발의 외상성 절단,Traumatic amputation of foot at ankle level
S981      ,단일 발가락의 외상성 절단,Traumatic amputation of one toe
S982      ,2개 이상의 발가락의 외상성 절단,Traumatic amputation of two or more toes
S983      ,발가락 및 발의 기타 부분의 복합성 외상성 절단,Combined traumatic amputation of toe(s) and other parts of foot
S983      ,발의 기타 부분의 외상성 절단,Traumatic amputation of other parts of foot
S984      ,발의 상세불명 부위의 외상성 절단,Traumatic amputation of foot/ level unspecified
S99       ,발목 및 발의 기타 및 상세불명의 손상,Other and unspecified injuries of ankle and foot
S997      ,발목 및 발의 다발손상,Multiple injuries of ankle and foot
S997      ,항목 S90-S98 중 둘 이상에 분류할 수 있는 손상,Injuries classifiable to more than one of the categories S90-S98
S998      ,발목 및 발의 기타 명시된 손상,Other specified injuries of ankle and foot
S999      ,발목 및 발의 상세불명 손상,Unspecified injury of ankle and foot
T00       ,여러 신체부위를 침범한 표재성 손상,Superficial injuries involving multiple body regions
T000      ,목과 함께 머리를 침범한 표재성 손상,Superficial injuries involving head with neck
T000      ,S00.- 및 S10.-에 분류가능한 부위의 표재성 손상,Superficial injuries of sites classifiable to S00.- and S10.-
T001      ,복부/ 아래등 및 골반과 함께 흉부를 침범한 표재성 손상,Superficial injuries involving thorax with abdomen/ lower back and pelvis
T001      ,S20.-/ S30.- 및 T09.0에 분류가능한 부위의 표재성 손상,Superficial injuries of sites classifiable to S20.-/ S30.- and T09.0
T002      ,팔의 여러 부위를 침범한 표재성 손상,Superficial injuries involving multiple regions of upper limb(s)
T002      ,S40.-/ S50.-/ S60.- 및 T11.0에 분류가능한 부위의 표재성 손상,Superficial injuries of sites classifiable to S40.-/ S50.-/ S60.- and T11.0
T003      ,다리의 여러 부위를 침범한 표재성 손상,Superficial injuries involving multiple regions of lower limb(s)
T003      ,S70.-/ S80.-/ S90.- 및 T13.0에 분류가능한 부위의 표재성 손상,Superficial injuries of sites classifiable to S70.-/ S80.-/ S90.- and T13.0
T006      ,다리와 함께 팔의 여러 부위를 침범한 표재성 손상,Superficial injuries involving multiple regions of upper limb(s) with lower limb(s)
T006      ,T00.2 및 T00.3에 분류가능한 부위의 표재성 손상,Superficial injuries of sites classifiable to T00.2 and T00.3
T008      ,기타 신체부위를 복합적으로 침범한 표재성 손상,Superficial injuries involving other combinations of body regions
T009      ,다발성 곤충 물림(비독액성) NOS,Multiple insect bites(nonvenomous) NOS
T009      ,다발성 수포(비열성) NOS,Multiple blisters(nonthermal) NOS
T009      ,다발성 찰과상 NOS,Multiple abrasion NOS
T009      ,다발성 타박상 NOS,Multiple bruises NOS
T009      ,다발성 혈종 NOS,Multiple haematomas NOS
T009      ,상세불명의 여러 부위의 표재성 손상,Multiple superficial injuries/ unspecified
T01       ,여러 신체부위를 침범한 열린상처,Open wounds involving multiple body regions
T010      ,목과 함께 머리를 침범한 열린상처,Open wounds involving head with neck
T010      ,S01.- 및 S11.-에 분류가능한 부위의 열린상처,Open wounds of sites classifiable to S01.- and S11.-
T011      ,복부/ 아래등 및 골반과 함께 흉부를 침범한 열린상처,Open wounds involving thorax with abdomen/ lower back and pelvis
T011      ,S21.-/ S31.- 및 T09.1에 분류가능한 부위의 열린상처,Open wounds of sites classifiable to S21.-/ S31.- and T09.1
T012      ,팔의 여러 부위를 침범한 열린상처,Open wounds involving multiple regions of upper limb(s)
T012      ,S41.-/ S51.-/ S61.- 및 T11.1에 분류가능한 부위의 열린상처,Open wounds of sites classifiable to S41.-/ S51.-/ S61.- and T11.1
T013      ,다리의 여러 부위를 침범한 열린상처,Open wounds involving multiple regions of lower limb(s)
T013      ,S71.-/ S81.-/ S91.- 및 T13.1에 분류가능한 부위의 열린상처,Open wounds of sites classifiable to S71.-/ S81.-/ S91.- and T13.1
T016      ,다리와 함께 팔의 여러 부위를 침범한 열린상처,Open wounds involving multiple regions of upper limb(s) with lower limb(s)
T016      ,T01.2 및 T01.3에 분류가능한 부위의 열린상처,Open wounds of sites classifiable to T01.2 and T01.3
T018      ,기타 신체부위를 복합적으로 침범한 열린상처,Open wounds involving other combinations of body regions
T019      ,다발성 동물물림 NOS,Multiple animal bites NOS
T019      ,다발성 열상 NOS,Multiple lacerations NOS
T019      ,다발성 절단 NOS,Multiple cuts NOS
T019      ,다발성 찔린 상처 NOS,Multiple punture wounds NOS
T019      ,상세불명의 다발성 열린상처,Multiple open wounds/ unspecified
T02       ,여러 신체부위를 침범한 골절,Fractures involving multiple body regions
T020      ,목과 함께 머리를 침범한 골절,Fractures involving head with neck
T020      ,S02.- 및 S12.-에 분류가능한 부위의 골절,Fractures of sites classifiable to S02.- and S12.-
T0200     ,목과 함께 머리를 침범한 골절/ 폐쇄성,Fractures involving head with neck/ closed
T0201     ,목과 함께 머리를 침범한 골절/ 개방성,Fractures involving head with neck/ open
T021      ,아래등 및 골반과 함께 흉부를 침범한 골절,Fractures involving thorax with lower back and pelvis
T021      ,S22.-/ S32.- 및 T08에 분류가능한 부분의 골절,Fractures of sites classifiable to S22.-/ S32.- and T08
T0210     ,아래등 및 골반과 함께 흉부를 침범한 골절/ 폐쇄성,Fractures involving thorax with lower back and pelvis/ closed
T0211     ,아래등 및 골반과 함께 흉부를 침범한 골절/ 개방성,Fractures involving thorax with lower back and pelvis/ open
T022      ,한 쪽 팔의 여러 부위를 침범한 골절,Fractures involving multiple regions of one upper limb
T022      ,한 쪽 팔의 S42.-/ S52.-/S62.- 및 T10에 분류가능한 부위의 골절,Fractures of sites classifiable to S42.-/ S52.-/ S62.- and T10 of one upper limb
T0220     ,한 쪽 팔의 여러 부위를 침범한 골절/ 패쇠성,Fractures involving multiple regions of one upper limb/ closed
T0221     ,한 쪽 팔의 여러 부위를 침범한 골절/ 개방성,Fractures involving multiple regions of one upper limb/ open
T023      ,한 쪽 다리의 여러 부위를 침범한 골절,Fractures involving multiple regions of one lower limb
T023      ,한 쪽 다리의 S72.-/ S82.-/ S92.- 및 T12에 분류가능한 부위의 골절,Fractures of sites classifiable to S72.-/ S82.-/ S92.- and T12 of one lower limb
T0230     ,한 쪽 다리의 여러 부위를 침범한 골절/ 패쇄성,Fractures involving multiple regions of one lower limb/ closed
T0231     ,한 쪽 다리의 여러 부위를 침범한 골절/ 개방성,Fractures involving multiple regions of one lower limb/ open
T024      ,양쪽 팔의 여러 부위를 침범한 골절,Fractures involving multiple regions of both upper limbs
T024      ,양쪽으로 명시된 S42.-/ S52.-/ S62.- 및 T10에 분류가능한 부위의 골절,Fractures of sites classifiable to S42.-/ S52.-/ S62.- and T10 specified as bilateral
T0240     ,양쪽 팔의 여러 부위를 침범한 골절/ 패쇠성,Fractures involving multiple regions of both upper limbs/ closed
T0241     ,양쪽 팔의 여러 부위를 침범한 골절/ 개방성,Fractures involving multiple regions of both upper limbs/ open
T025      ,양쪽 다리의 여러 부위를 침범한 골절,Fractures involving multiple regions of both lower limbs
T025      ,양쪽으로 명시된 S72.-/ S82.-/ S92.- 및 T12에 분류가능한 부위의 골절,Fractures of sites classifiable to S72.-/ S82.-/ S92.- and T12 specified as bilateral
T0250     ,양쪽 다리의 여러 부위를 침범한 골절/ 폐쇄성,Fractures involving multiple regions of both lower limbs/ closed
T0251     ,양쪽 다리의 여러 부위를 침범한 골절/ 개방성,Fractures involving multiple regions of both lower limbs/ open
T026      ,다리와 함께 팔의 여러 부위를 침범한 골절,Fractures involving multiple regions of upper limb(s) with lower limb(s)
T0260     ,다리와 함께 팔의 여러 부위를 침범한 골절/ 폐쇄성,Fractures involving multiple regions of upper limb (s) with lower limb(s)/ closed
T0261     ,다리와 함께 팔의 여러 부위를 침범한 골절/ 개방성,Fractures involving multiple regions of upper limb (s) with lower limb(s)/ open
T027      ,아래등/ 골반 및 사지와 함께 흉부를 침범한 골절,Fractures involving thorax with lower back and pelvis with limb(s)
T0270     ,아래등/ 골반 및 사지와 함께 흉부를 침범한 골절/ 폐쇄성,Fractures involving thorax with lower back and pelvis with limb (s)/ closed
T0271     ,아래등/ 골반 및 사지와 함께 흉부를 침범한 골절/ 개방성,Fractures involving thorax with lower back and pelvis with limb (s)/ open
T028      ,기타 신체부위를 복합적으로 침범한 골절,Fractures involving other combinations of body regions
T0280     ,기타 신체부위를 복합적으로 침범한 골절/ 폐쇄성,Fractures involving other combinations of body regions/ closed
T0281     ,기타 신체부위를 복합적으로 침범한 골절/ 개방성,Fractures involving other combinations of body regions/ open
T029      ,상세불명의 다발성 골절,Multiple fractures/ unspecified
T0290     ,상세불명의 다발성 골절/ 폐쇄성,Multiple fractures/ unspecified/ closed
T0291     ,상세불명의 다발성 골절/ 개방성,Multiple fractures/ unspecified/ open
T03       ,여러 신체부위를 침범한 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains involving multiple body regions
T030      ,목과 함께 머리를 침범한 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains involving head with neck
T030      ,S03.- 및 S13.-에 분류가능한 부위의 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains of sites classifiable to S03.- and S13.-
T031      ,아래등 및 골반과 함께 흉부를 침범한 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains involving thorax with lower back and pelvis
T031      ,S23.-/ S33.- 및 T09.2에 분류가능한 부위의 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains of sites classifiable to S23.-/ S33.- and T09.2
T032      ,팔의 여러 부위를 침범한 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains involving multiple regions of upper limb(s)
T032      ,S43.-/ S53.-/ S63.- 및 T11.2에 분류가능한 부위의 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains of sites classifiable to S43.-/ S53.-/ S63.- and T11.2
T033      ,다리의 여러 부위를 침범한 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains involving multiple regions of lower limb(s)
T033      ,S73.-/ S83.-/ S93.- 및 T13.2에 분류가능한 부위의 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains of sites classifiable to S73.-/ S83.-/ S93.- and T13.2
T034      ,다리와 함께 팔의 여러 부위를 침범한 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains involving multiple regions of upper limb(s) with lower limb(s)
T038      ,기타 신체부위를 복합적으로 침범한 탈구/ 염좌 및 긴장,Dislocations/ sprains and strains involving other combinations of body regions
T039      ,상세불명의 다발성 탈구/ 염좌 및 긴장,Multiple dislocations/ sprains and strains/ unspecified
T04       ,여러 신체부위를 침범한 으깸손상,Crushing injuries involving multiple body regions
T040      ,목과 함께 머리를 침범한 으깸손상,Crushing injuries involving head with neck
T040      ,S07.- 및 S17.-에 분류가능한 부위의 으깸손상,Crushing injuries of sites classifiable to S07.- and S17.-
T041      ,몸통의 으깸손상 NOS,Crushing injury of trunk NOS
T041      ,복부/ 아래등 및 골반과 함께 흉부를 침범한 으깸손상,Crushing injuries involving thorax with abdomen/ lower back and pelvis
T041      ,S28.- 및 S38.-에 분류가능한 부위의 으깸손상,Crushing injury of sites classifiable to S28.- and S38.-
T042      ,팔의 여러 부위를 침범한 으깸손상,Crushing injuries involving multiple regions of upper limb(s)
T042      ,팔의 으깸손상 NOS,Crushing injury of upper limb NOS
T042      ,S47.-/ S57.- 및 S67.-에 분류가능한 부위의 으깸손상,Crushing injury of sites classifiable to S47.- S57.- and S67.-
T043      ,다리의 여러 부위를 침범한 으깸손상,Crushing injuries involving multiple regions of lower limb(s)
T043      ,다리의 으깸손상 NOS,Crushing injury of lower limb NOS
T043      ,S77.-/S87.- 및 S97.-에 분류가능한 부위의 으깸손상,Crushing injury of sites classifiable to S77.-/ S87.- and S97.-
T044      ,다리와 함께 팔의 여러 부위를 침범한 으깸손상,Crushing injuries involving multiple regions of upper limb(s) with lower limb(s)
T047      ,복부/ 아래등/ 골반 및 사지를 동반한 흉부의 으깸손상,Crushing injuries of thorax with abdomen/ lower back and pelvis with limb(s)
T048      ,기타 신체부위를 복합적으로 침범한 으깸손상,Crushing injuries involving other combinations of body regions
T049      ,상세불명의 다발성 으깸손상,Multiple crushing injuries/ unspecified
T05       ,여러 신체부위를 침범한 박리,Avulsion involving multiple body regions
T05       ,여러 신체부위를 침범한 외상성 절단,Traumatic amputations involving multiple body regions
T050      ,양쪽 손의 외상성 절단,Traumatic amputation of both hands
T051      ,한쪽 손 및 다른 쪽 팔의 외상성 절단[손을 제외한 모든 부위],Traumatic amputation of one hand and other arm [any level/ except hand]
T052      ,양쪽 팔의 외상성 절단[모든 부위],Traumatic amputation of both arm [any level]
T053      ,양쪽 발의 외상성 절단,Traumatic amputation of both feet
T054      ,한쪽 발 및 다른 쪽 다리의 외상성 절단[발을 제외한 모든 부위],Traumatic amputation of one foot and other leg [any level/ except foot]
T055      ,양쪽 다리의 외상성 절단[모든 부위],Traumatic amputation of both legs [any level]
T056      ,모든 복합의 팔 및 다리의 외상성 절단[모든 부위],Traumatic amputation of upper and lower limbs/ any combination [any level]
T058      ,기타 신체부위를 복합적으로 침범한 외상성 절단,Traumatic amputation involving other combinations of body regions
T058      ,복부의 절단,Transection of abdomen
T058      ,흉부의 절단,Transection of thorax
T059      ,상세불명의 여러 부위의 외상성 절단,Multiple traumatic amputations/ unspecified
T06       ,달리 분류되지 않은 여러 신체부위를 침범한 기타 손상,Other injuries involving multiple body regions/ NEC
T060      ,목부위의 신경 및 척수의 손상을 동반한 뇌 및 뇌신경의 손상,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level
T060      ,S14.-에 분류할 수 있는 손상을 동반한 S04.- 및 S06.-에 분류할 수 있는 손상,Injuries classifiable to S04.- and S06.- with injuries classifiable to S14.-
T061      ,기타 여러 신체부위를 침범한 신경 및 척수의 손상,Injuries of nerves and spinal cord involving other multiple body regions
T062      ,신경의 다발손상 NOS,Multiple injuries of nerves NOS
T062      ,여러 신체부위를 침범한 신경의 손상,Injuries of nerves involving multiple body regions
T063      ,여러 신체부위를 침범한 혈관손상,Injuries of blood vessels involving multiple body regions
T064      ,여러 신체부위를 침범한 근육 및 힘줄의 손상,Injuries of muscles and tendons involving multiple body regions
T065      ,복부내 및 골반 기관을 포함한 흉곽내기관의 손상,Injuries of intrathoracic organs with intra-abdominal and pelvic organs
T068      ,여러 신체부위를 침범한 기타 명시된 손상,Other specified injuries involving multiple body regions
T07       ,상세불명의 다발손상,Unspecified multiple injuries
T08       ,척추의 상세불명 부위의 골절,Fracture of spine/ level unspecified
T080      ,상세불명 부위의 척추의 골절/ 폐쇄성,Fracture of spine/ level unspecified/ closed
T081      ,상세불명 부위의 척추의 골절/ 개방성,Fracture of spine/ level unspecified/ open
T09       ,척추 및 몸통의 상세불명 부위의 기타 손상,Other injuries of spine and trunk/ level unspecified
T090      ,몸통의 상세불명 부위의 표재성 손상,Superficial injury of trunk/ level unspecified
T091      ,몸통의 상세불명 부위의 열린상처,Open wound of trunk/ level unspecified
T092      ,몸통의 상세불명의 관절 및 인대의 탈구/ 염좌 및 긴장,Dislocation/ sprain and strain of unspecified joint and ligament of trunk
T093      ,척수의 상세불명 부위의 손상,Injury of spinal cord/ level unspecified
T094      ,몸통의 상세불명의 신경/ 척수신경근 및 척추 신경총의 손상,Injury of unspecified nerve/ spinal nerve root and plexus of trunk
T095      ,몸통의 상세불명의 근육 및 힘줄의 손상,Injury of unspecified muscle and tendon of trunk
T096      ,몸통의 상세불명 부위의 외상성 절단,Traumatic amputation of trunk/ level unspecified
T098      ,몸통의 상세불명 부위의 기타 명시된 손상,Other specified injuries of trunk/ level unspecified
T099      ,몸통의 상세불명 부위의 상세불명 손상,Unspecified injury of trunk/ level unspecified
T10       ,부러진 팔 NOS,Broken arm NOS
T10       ,팔의 골절 NOS,Fracture of arm NOS
T10       ,팔의 상세불명 부위의 골절,Fracture of upper limb/ level unspecified
T100      ,부러진 팔 NOS/ 폐쇄성,Broken arm NOS/ closed
T100      ,상세불명 부위의 팔 부위의 골절/ 폐쇄성,Fracture of upper limb/ level unspecified/ closed
T100      ,팔의 골절 NOS/ 폐쇄성,Fracture of arm NOS/ closed
T101      ,부러진 팔 NOS/ 개방성,Broken arm NOS/ open
T101      ,상세불명 부위의 팔 부위의 골절/ 개방성,Fracture of upper limb/ level unspecified/ open
T101      ,팔의 골절 NOS/ 개방성,Fracture of arm NOS/ open
T11       ,팔의 상세불명 부위의 기타 손상,Other injuries of upper limb/ level unspecified
T110      ,팔의 상세불명 부위의 표재성 손상,Superficial injury of upper limb/ level unspecified
T111      ,팔의 상세불명 부위의 열린상처,Open wound of upper limb/ level unspecified
T112      ,팔의 상세불명 부위의 상세불명 관절 및 인대의 탈구/ 염좌 및 긴장,Dislocation/ sprain and strain of unspecified joint and ligament of upper limb/ level unspecified
T113      ,팔의 상세불명 부위의 상세불명 신경의 손상,Injury of unspecified nerve of upper limb/ level unspecified
T114      ,팔의 상세불명 부위의 상세불명 혈관의 손상,Injury of unspecified blood vessel of upper limb/ level unspecified
T115      ,팔의 상세불명 부위의 상세불명 근육 및 힘줄의 손상,Injury of unspecified muscle and tendon of upper limb/ level unspecified
T116      ,팔의 상세불명 부위의 외상성 절단,Traumatic amputation of upper limb/ level unspecified
T116      ,팔의 외상성 절단 NOS,Traumatic amputation of arm NOS
T118      ,팔의 상세불명 부위의 기타 명시된 손상,Other specified injuries of upper limb/ level unspecified
T119      ,상세불명의 팔 부위의 상세불명 손상,Unspecified injury of upper limb/ level  unspecified
T119      ,팔의 손상 NOS,Injury of arm NOS
T12       ,다리의 골절 NOS,Fracture of leg NOS
T12       ,다리의 상세불명 부위의 골절,Fracture of lower limb/ level unspecified
T12       ,부러진 다리 NOS,Broken leg NOS
T120      ,다리의 상세불명 부위의 골절/ 폐쇄성,Fracture of lower limb/ level unspecified/ closed
T121      ,다리의 상세불명 부위의 골절/ 개방성,Fracture of lower limb/ level unspecified/ open
T13       ,다리의 상세불명 부위의 기타 손상,Other injuries of lower limb/ level unspecified
T130      ,다리의 상세불명 부위의 표재성 손상,Superficial injury of lower limb/ level unspecified
T131      ,다리의 상세불명 부위의 열린상처,Open wound of lower limb/ level unspecified
T132      ,다리의 상세불명 부위의 상세불명 관절 및 인대의 탈구/ 염좌 및 긴장,Dislocation/ sprain and strain of unspecified joint and ligament of lower limb/ level unspecified
T133      ,다리의 상세불명 부위의 상세불명 신경의 손상,Injury of unspecified nerve of lower limb/ level unspecified
T134      ,다리의 상세불명 부위의 상세불명 혈관의 손상,Injury of unspecified blood vessel of lower limb/ level unspecified
T135      ,다리의 상세불명 부위의 상세불명 근육 및 힘줄의 손상,Injury of unspecified muscle and tendon of lower limb/ level unspecified
T136      ,다리의 상세불명 부위의 외상성 절단,Traumatic amputation of lower limb/ level unspecified
T136      ,다리의 외상성 절단 NOS,Traumatic amputation of leg NOS
T138      ,다리의 상세불명 부위의 기타 명시된 손상,Other specified injuries of lower limb/ level unspecified
T139      ,다리의 상세불명 부위의 상세불명 손상,Unspecified injury of lower limb/ level unspecified
T139      ,다리의 손상 NOS,Injury of leg NOS
T14       ,상세불명의 신체부위의 손상,Injury of unspecified body region
T140      ,곤충물림(비독액성) NOS,Insect bite (nonvenomous) NOS
T140      ,상세불명의 신체부위의 표재성 손상,Superficial injury of unspecified body region
T140      ,수포(비열성) NOS,Blister (nonthermal) NOS
T140      ,찰과상 NOS,Abrasion NOS
T140      ,큰 열린상처가 없는 표재성 이물(파편)에 의한 손상 NOS,Injury from superficial foreign body (splinter) without major open wound NOS
T140      ,타박상 NOS,Bruise NOS
T140      ,표재성 손상 NOS,Superficial injury NOS
T140      ,혈종 NOS,Haematoma NOS
T141      ,동물 물림 NOS,Animal bite NOS
T141      ,상세불명의 신체부위의 열린상처,Open wound of unspecified body region
T141      ,열린상처 NOS,Open wound NOS
T141      ,열상 NOS,Laceration NOS
T141      ,이물(관통성)을 동반한 찔린 상처 NOS,Puncture wound with (penetrating) foreign body NOS
T141      ,절단 NOS,Cut NOS
T142      ,개방성 골절 NOS,Fracture open NOS
T142      ,골절 NOS,Fracture NOS
T142      ,상세불명의 신체부위의 골절,Fracture of unspecified body region
T142      ,전위성 골절 NOS,Fracture displaced NOS
T142      ,탈구 골절 NOS,Fracture dislocated NOS
T142      ,폐쇄성 골절 NOS,Fracture closed NOS
T142      ,폐쇄성 또는 개방성으로 명시되지 않은 골절은 폐쇄성으로 분류되어야 한다.,A fracture not indicated as closed or open should be classified as closed.
T1420     ,개방성 골절 NOS/ 폐쇄성,Fracture open NOS/ closed
T1420     ,골절 NOS/ 폐쇄성,Fracture NOS/ closed
T1420     ,상세불명의 신체부위의 골절/ 폐쇄성,Fracture of unspecified body region/ closed
T1420     ,전위성 골절 NOS/ 폐쇄성,Fracture displaced NOS/ closed
T1420     ,탈구 골절 NOS/ 폐쇄성,Fracture dislocated NOS/ closed
T1420     ,폐쇄성 골절 NOS/ 폐쇄성,Fracture closed NOS/ closed
T1421     ,개방성 골절 NOS/ 개방성,Fracture open NOS/ open
T1421     ,골절 NOS/ 개방성,Fracture NOS/ open
T1421     ,상세불명의 신체부위의 골절/ 개방성,Fracture of unspecified body region/ open
T1421     ,전위성 골절 NOS/ 개방성,Fracture displaced NOS/ open
T1421     ,탈구 골절 NOS/ 개방성,Fracture dislocated NOS/ open
T1421     ,폐쇄성 골절 NOS/ 개방성,Fracture closed NOS/ open
T143      ,관절(낭)의/ 인대의 긴장 NOS,Strain of joint (capsule)/ of ligament NOS
T143      ,관절(낭)의/ 인대의 박리 NOS,Avulsion of joint (capsule)/ of ligament NOS
T143      ,관절(낭)의/ 인대의 열상 NOS,Laceration of joint (capsule)/ of ligament NOS
T143      ,관절(낭)의/ 인대의 염좌 NOS,Sprain of joint (capsule)/ of ligament NOS
T143      ,관절(낭)의/ 인대의 외상성 부분탈구 NOS,Traumatic subluxation of joint (capsule)/ of ligament NOS
T143      ,관절(낭)의/ 인대의 외상성 찢김 NOS,Traumatic tear of joint (capsule)/ of ligament NOS
T143      ,관절(낭)의/ 인대의 외상성 파열 NOS,Traumatic rupture of joint (capsule)/ of ligament NOS
T143      ,관절(낭)의/ 인대의 외상성 혈관절 NOS,Traumatic haemarthrosis of joint (capsule)/ of ligament NOS
T143      ,상세불명의 신체부위의 탈구/ 염좌 및 긴장,Dislocation/ sprain and strain of unspecified body region
T144      ,상세불명의 신체부위의 신경손상,Injury of nerve(s) of unspecified body region
T144      ,신경의 손상 NOS,Injury of nerve NOS
T144      ,외상성 (일과성)마비 NOS,Traumatic paralysis (transient) NOS
T144      ,외상성 신경의 분열 NOS,Traumatic division of nerve NOS
T144      ,외상성 혈척수 NOS,Traumatic haematomyelia NOS
T145      ,상세불명의 신체부위의 혈관손상,Injury of blood vessel(s) of unspecified body region
T145      ,혈관의 박리 NOS,Avulsion of blood vessel(s) NOS
T145      ,혈관의 손상 NOS,Injury of blood vessel(s) NOS
T145      ,혈관의 열상 NOS,Laceration of blood vessel(s) NOS
T145      ,혈관의 외상성 동맥류 또는 누공(동정맥성) NOS,Traumatic aneurysm or fistula (arteriovenous) of blood vessel(s) NOS
T145      ,혈관의 외상성 동맥혈종 NOS,Traumatic arterial haematoma of blood vessel(s) NOS
T145      ,혈관의 외상성 파열 NOS,Traumatic rupture of blood vessel(s) NOS
T145      ,혈관의 절단 NOS,Cut of blood vessel(s) NOS
T146      ,근육 및 힘줄의 긴장 NOS,Strain of muscle(s) and tendon(s) NOS
T146      ,근육 및 힘줄의 박리 NOS,Avulsion of muscle(s) and tendon(s) NOS
T146      ,근육 및 힘줄의 손상 NOS,Injury of muscle(s) and tendon(s) NOS
T146      ,근육 및 힘줄의 열상 NOS,Laceration of muscle(s) and tendon(s) NOS
T146      ,근육 및 힘줄의 염좌 NOS,Sprain of muscle(s) and tendon(s) NOS
T146      ,근육 및 힘줄의 외상성 파열 NOS,Traumatic rupture of muscle(s) and tendon(s) NOS
T146      ,근육 및 힘줄의 절단 NOS,Cut of muscle(s) and tendon(s) NOS
T146      ,상세불명의 신체부위의 근육 및 힘줄의 손상,Injury of muscles and tendons of unspecified body region
T147      ,상세불명의 신체부위의 으깸손상 및 외상성 절단,Crushing injury and traumatic amputation of unspecified body region
T147      ,외상성 절단 NOS,Traumatic amputation NOS
T147      ,으깸손상 NOS,Crushing injury NOS
T148      ,상세불명의 신체부위의 기타 손상,Other injuries of unspecified body region
T149      ,상세불명의 손상,Injury/ unspecified
T15       ,외안의 이물,Foreign body on external eye
T150      ,각막의 이물,Foreign body in cornea
T151      ,결막낭의 이물,Foreign body in conjunctival sac
T158      ,눈물점의 이물,Foreign body in lacrimal punctum
T158      ,외안의 기타 및 여러 부분의 이물,Foreign body in other and multiple parts of external eye
T159      ,외안의 상세불명 부분의 이물,Foreign body on external eye/ part unspecified
T16       ,귀의 이물,Foreign body in ear
T16       ,이도의 이물,Auditory canal
T17       ,0 위내용물,Gastric contents
T17       ,1 음식물,Food
T17       ,8 기타 이물,Other foreign object
T17       ,9 상세불명의 이물,Unspecified foreign body
T17       ,기도의 이물,Foreign body in respiratory tract
T170      ,비동의 이물,Foreign body in nasal sinus
T171      ,코의 이물 NOS,Foreign body in nose NOS
T171      ,콧구멍의 이물,Foreign body in nostril
T172      ,목구멍 NOS,Throat NOS
T172      ,목구멍 NOS,Throat NOS
T172      ,비인두의 이물,Nasopharynx
T172      ,비인두의 이물,Nasopharynx
T172      ,인두의 이물,Foreign body in pharynx
T172      ,인두의 이물,Foreign body in pharynx
T1720     ,목구멍 NOS/ 위내용물,Throat NOS/ gastric contents
T1720     ,비인두의 이물/ 위내용물,Foreign body in pharynx/ gastric contents
T1720     ,인두의 이물/ 위내용물,Foreign body in pharynx/ gastric contents
T1721     ,목구멍 NOS/ 음식물,Throat NOS/ food
T1721     ,비인두의 이물/ 음식물,Foreign body in pharynx/ food
